Locus-name_V1_12X,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
VIT_05s0077g02260,Nodulin MtN3 family,,,,
VIT_05s0077g02270,Unknown protein,,,,
VIT_05s0077g02280,Unknown protein,,,,
VIT_05s0077g02290,Ribosomal protein L22-2 (RPL22B) 60S,K02890,,vv23010Ribosome,
VIT_05s0077g02300,UDP-glucuronic acid decarboxylase 2,E4_1_1_35,,vv10500Starch_and_sucrose_metabolism,vv10520Nucleotide_sugars_metabolism
VIT_05s0077g02310,PP1/PP2A phosphatases pleiotropic regulator PRL1,K12862,,vv23040Spliceosome,vv50109Incompletely_characterized_transport_systems
VIT_05s0077g02320,Hypoxia-responsive,,,,
VIT_05s0077g02330,Transducin protein,,,,
VIT_05s0077g02340,NADH dehydrogenase (ubiquinone) Fe-S protein 5,K03938,,vv10190Oxidative_phosphorylation,vv50134Primary_active_transporter_cat_D1
VIT_05s0077g02350,No hit,,,,
VIT_05s0077g02360,Transposon,,,,
VIT_05s0077g02370,Retrovirus Pol polyprotein,,,,
VIT_05s0077g02380,DnaJ homolog  subfamily B  member 12,K09518,,vv50132Primary_active_transporter_cat_A5_to_A8,
VIT_05s0094g00010,Retrovirus Pol polyprotein,,,,
VIT_05s0094g00020,RWP-RK domain-containing protein,RWPRKDOM_5,,vv60052RWP-RK,
VIT_05s0094g00030,Unknown protein,,,,
VIT_05s0094g00040,No hit,,,,
VIT_05s0094g00050,Unknown protein,,,,
VIT_05s0094g00060,Mucin,K06568,,,
VIT_05s0094g00070,RabGAP/TBC domain-containing protein,,,,
VIT_05s0094g00080,Pentatricopeptide repeat,,,,
VIT_05s0094g00090,Unknown protein,,,,
VIT_05s0094g00100,Peptidylprolyl isomerase,K01802,,,
VIT_05s0094g00110,Cyclin D3_2,CYCD3,,vv30007Cytokinin_signaling,vv44110Cell_cycle
VIT_05s0094g00120,DNA-directed RNA polymerase II subunit H,K03016,,vv23020RNA_polymerase,
VIT_05s0094g00130,DNA-directed RNA polymerase II subunit H,K03016,,vv23020RNA_polymerase,
VIT_05s0094g00140,Protein binding protein,,,,
VIT_05s0094g00150,Membrane-associated 30 kDa protein  chloroplast precursor (M30),,,,
VIT_05s0094g00160,No hit,,,,
VIT_05s0094g00170,Protein transport protein Sec61 subunit beta,K09481,,vv23060Protein_export,vv24141Protein_processing_in_endoplasmic_reticulum
VIT_05s0094g00180,No hit,,,,
VIT_05s0094g00190,Cyclin-L1-1,CYCL1_1,,vv44110Cell_cycle,
VIT_05s0094g00200,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00210,No hit,,,,
VIT_05s0094g00220,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00230,Chitinase 5,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00240,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00250,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00260,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00270,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00280,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00290,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00300,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00310,Unknown protein,,,,
VIT_05s0094g00320,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00330,Chitinase  class IV [Vitis vinifera],E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00340,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00350,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00360,Chitinase class IV,E3_2_1_14,,vv10530Aminosugars_metabolism,
VIT_05s0094g00370,Diphthamide synthesis DPH2,,,,
VIT_05s0094g00380,Glycine-rich RNA-binding protein 4,GRP4,,,
VIT_05s0094g00390,Unknown protein,,,,
VIT_05s0094g00400,Signal recognition particle subunit 14 SRP14,K03104,,vv23060Protein_export,vv50132Primary_active_transporter_cat_A5_to_A8
VIT_05s0094g00410,Unknown protein,,,,
VIT_05s0094g00420,Endosperm defective 1 EDE1,EDE1,,,
VIT_05s0094g00420_2,Unknown protein,,,,
VIT_05s0094g00430,5'-3' exonuclease,E3_1_11_1,,,
VIT_05s0094g00440,Sas10/U3 ribonucleoprotein (Utp),,,,
VIT_05s0094g00450,Ribosomal protein L51/S25/CI-B8,K02975,,vv23010Ribosome,
VIT_05s0094g00460,Eukaryotic translation initiation factor,,,,
VIT_05s0094g00470,Zinc finger (C3HC4-type ring finger),ZFC3HC4_201,,vv60078Other_zf-C3HC4,
VIT_05s0094g00480,Ethylene-responsive protein,ER33,,vv30008Ethylene_signaling,vv60011BHLH
VIT_05s0094g00490,Selenoprotein,,,,
VIT_05s0094g00500,C2 domain-containing protein,,,,
VIT_05s0094g00510,Unknown protein,,,,
VIT_05s0094g00520,Unknown protein,,,,
VIT_05s0094g00530,Calmodulin binding protein,,,,
VIT_05s0094g00540,Acyl-[acyl-carrier-protein] desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00550,Stearoyl-acyl-[acyl-carrier-protein] desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00560,Stearoyl-ACP desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00570,No hit,,,,
VIT_05s0094g00580,Stearoyl-CoA 9-desaturase,E1_14_19_1,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00590,No hit,,,,
VIT_05s0094g00600,H+-transporting ATPase  Plasma membrane,K01535,,vv10190Oxidative_phosphorylation,vv50131Primary_active_transporter_cat_A2_to_A4
VIT_05s0094g00610,Pirin,,,,
VIT_05s0094g00620,Ribosomal protein S3A (RPS3aA) 40S,K02984,,vv23010Ribosome,
VIT_05s0094g00630,Stearoyl-CoA 9-desaturase,E1_14_19_1,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00640,CCT chaperonin gamma subunit,,,,
VIT_05s0094g00650,Stearoyl-acyl-carrier protein desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00660,PIF-like transposase,,,,
VIT_05s0094g00670,Unknown,,,,
VIT_05s0094g00680,Retrovirus Pol polyprotein,,,,
VIT_05s0094g00690,Golgi transport complex protein,,,,
VIT_05s0094g00700,Ribosomal protein SA (p40) 40S,K02998,,vv23010Ribosome,
VIT_05s0094g00710,RNA helicase 75 PRH75,PRH75,,vv50133Primary_active_transporter_cat_A9_to_A18,
VIT_05s0094g00720,No hit,,,,
VIT_05s0094g00730,Stearoyl-acyl-carrier protein desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00740,Stearoyl-acyl-[acyl-carrier-protein] desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00750,Stearoyl-CoA 9-desaturase,E1_14_19_1,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
VIT_05s0094g00760,Unknown protein,,,,
VIT_05s0094g00770,Short-chain dehydrogenase/reductase (SDR),,,,
VIT_05s0094g00780,Cysteine synthase,E2_5_1_47,,vv10272Cysteine_metabolism,vv10450Selenoamino_acid_metabolism
VIT_05s0094g00790,Retrovirus Pol polyprotein,,,,
VIT_05s0094g00800,Prp8 binding protein,K12857,,vv23040Spliceosome,vv50133Primary_active_transporter_cat_A9_to_A18
VIT_05s0094g00810,Ion channel DMI1  chloroplast precursor,DMI1,,vv50101Channels_and_pores,
VIT_05s0094g00820,Unknown protein,,,,
VIT_05s0094g00830,No hit,,,,
VIT_05s0094g00840,Cytochrome bd ubiquinol oxidase  subunit II,K00425,,vv10190Oxidative_phosphorylation,
VIT_05s0094g00850,Phosphoinositide phosphatase,E3_1_3_36,,vv10562Inositol_phosphate_metabolism,vv34070Phosphatidylinositol_signaling_system
VIT_05s0094g00860,Syntaxin 61,,,,
VIT_05s0094g00870,Ribosomal protein L5 (RPL5B) 60S,K02931,,vv23010Ribosome,
VIT_05s0094g00880,Unknown,,,,
VIT_05s0094g00890,Haloacid dehalogenase hydrolase,E3_1_3_18,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
VIT_05s0094g00900,MAPK (MPK6),MPK6,,vv30008Ethylene_signaling,vv34626Plant-pathogen_interaction
VIT_05s0094g00910,Unknown protein,,,,
VIT_05s0094g00920,formin protein AHF1,FH1,,vv44810Regulation_of_actin_cytoskeleton,
VIT_05s0094g00930,Phosphoglucomutase/phosphomannomutase C terminal,E5_4_2_2,,vv10010Glycolysis,vv10030Pentose_phosphate
VIT_05s0094g00940,U6 snRNA-associated Sm-like protein LSm6,K12625,,vv23018RNA_degradation,vv23040Spliceosome
VIT_05s0094g00950,BT3 (BTB and TAZ domain protein 3),BT3,,vv60060TAZ,
VIT_05s0094g00960,UDP-xylose phenolic glycosyltransferase,,,,
VIT_05s0094g00970,Transposase AC,,,,
VIT_05s0094g00980,Kinase interacting,,,,
VIT_05s0094g00990,UDP-glucose:salicylic acid glucosyltransferase,E2_4_1_35,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01000,Indole-3-acetate beta-glucosyltransferase,E2_4_1_121,,vv11002Auxin_biosynthesis,
VIT_05s0094g01010,Indole-3-acetate beta-glucosyltransferase,E2_4_1_121,,vv11002Auxin_biosynthesis,
VIT_05s0094g01020,Indole-3-acetate beta-glucosyltransferase,E2_4_1_121,,vv11002Auxin_biosynthesis,
VIT_05s0094g01030,UDP-glucose:salicylic acid glucosyltransferase,E2_4_1_35,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01040,UDP-glucose:salicylic acid glucosyltransferase,E2_4_1_35,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01050,UDP-glucose:salicylic acid glucosyltransferase,E2_4_1_35,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01060,UDP-glucose:salicylic acid glucosyltransferase,E2_4_1_35,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01070,Leucine zipper-EF-hand containing transmembrane protein 1,LETM1,,vv50125Porters_cat_66_to_94,
VIT_05s0094g01080,Ankyrin protein kinase,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0094g01090,Pentatricopeptide (PPR) repeat-containing,,,,
VIT_05s0094g01100,Ribosomal protein L2,K02886,,vv23010Ribosome,
VIT_05s0094g01110,Acetolactate synthase small subunit,E2_2_1_6,,vv10290Valine_leucine_and_isoleucine_biosynthesis,vv10650Butanoate_metabolism
VIT_05s0094g01120,NADP-dependent oxidoreductase,E1_6_5_5,,,
VIT_05s0094g01130,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01140,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01150,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01160,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01170,CYP706A12,,,,
VIT_05s0094g01180,Flavonoid 3' 5'-hydroxylase,E1_14_13_88,,vv10941Flavonoid_biosynthesis,
VIT_05s0094g01190,flavonoid 3-monooxygenase,E1_14_13_21,,vv10941Flavonoid_biosynthesis,
VIT_05s0094g01200,flavonoid 3'-hydroxylase cytochrome P450,E1_14_13_21,,vv10941Flavonoid_biosynthesis,
VIT_05s0094g01210,Amine oxidase,E1_4_3_4,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv10340Histidine_metabolism
VIT_05s0094g01220,CYP706A6,,,,
VIT_05s0094g01230,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01240,Caltractin / centrin,K10840,,vv23420Nucleotide_excision_repair,vv44110Cell_cycle
VIT_05s0094g01250,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01260,Allyl alcohol dehydrogenase,,,,
VIT_05s0094g01270,Leucine-rich repeat family protein,,,,
VIT_05s0094g01280,Ribosome subunit biogenesis protein 60S,K07565,,,
VIT_05s0094g01290,Leucine-rich repeat family protein,,,,
VIT_05s0094g01300,Polygalacturonase GH28,E3_2_1_15,,vv40006Cell_wall,
VIT_05s0094g01310,Polygalacturonase GH28,E3_2_1_15,,vv40006Cell_wall,
VIT_05s0094g01320,Ankyrin repeat,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0094g01330,Inositol polyphosphate 5'-phosphatase,E3_1_3_56,,vv10562Inositol_phosphate_metabolism,vv34070Phosphatidylinositol_signaling_system
VIT_05s0094g01340,Thiopurine methyltransferase,E2_1_1_67,,vv10271Methionine_metabolism,
VIT_05s0094g01350,Thiol methyltransferase 1,E2_1_1_9,,vv10450Selenoamino_acid_metabolism,
VIT_05s0094g01360,Retrovirus Pol polyprotein,,,,
VIT_05s0094g01370,Translation initiation factor eIF-1A,K03236,,vv23013RNA_transport,
VIT_05s0094g01380,Unknown protein,,,,
VIT_05s0094g01380_2,No hit,,,,
VIT_05s0094g01390,Ion channel OEP37,OEP37,,vv50101Channels_and_pores,
VIT_05s0094g01400,La domain-containing protein,,,,
VIT_05s0094g01410,Inositol 1 3 4-trisphosphate 5/6-kinase,E2_7_1_134,,vv10562Inositol_phosphate_metabolism,
VIT_05s0094g01420,Inosine-uridine preferring nucleoside hydrolase,E3_2_2_1,,vv10230Purine_metabolism,vv10760Nicotinate_and_nicotinamide_metabolism
VIT_05s0094g01430,Unknown protein,,,,
VIT_05s0094g01440,Unknown,,,,
VIT_05s0094g01450,Unknown,,,,
VIT_05s0094g01460,Unknown protein,,,,
VIT_05s0094g01470,Poly(ADP-ribose) like glycohydrolase,E3_2_1_143,,,
VIT_05s0094g01480,Dihydrodipicolinate reductase,E1_3_1_26,,vv10300Lysine_biosynthesis,
VIT_05s0094g01490,6 7-dimethyl-8-ribityllumazine synthase  chloroplast precursor,K00794,,vv10740Riboflavin_metabolism,vv30011jasmonate_signaling
VIT_05s0094g01500,ADP-glucose pyrophosphorylase  small subunit precursor,E2_7_7_27,,vv10500Starch_and_sucrose_metabolism,
VIT_05s0094g01510,Unknown protein,,,,
VIT_05s0094g01520,Late embryogenesis abundant protein,,,,
VIT_05s0094g01530,ARL (ARGOS),,,,
VIT_05s0094g01540,Unknown protein,,,,
VIT_05s0094g01540_2,Transferase,,,,
VIT_05s0094g01550,RAB GDP dissociation inhibitor 1 ATGD1,,,,
VIT_05s0094g01560,RIO kinase 2,K07179,,vv23008Ribosome_biogenesis_in_Eukaryotes,
VIT_05s0094g01570,MLO1,K08472,,,
VIT_05s0094g01580,Transposon,,,,
VIT_05s0094g01590,Kelch repeat-containing F-box protein,,,,
VIT_05s0094g01600,Methylenetetrahydrofolate reductase,E1_5_1_20,,vv10670One_carbon_pool_by_folate,vv10680Methane_metabolism
VIT_05s0094g01610,No hit,,,,
VIT_05s0094g01620,Multisynthetase complex auxiliary component p43,E6_1_1_10,,vv10271Methionine_metabolism,vv10450Selenoamino_acid_metabolism
VIT_05s0094g01630,Apyrase (APY1),E3_6_1_5,,vv10230Purine_metabolism,vv10240Pyrimidine_metabolism
VIT_05s0094g01640,Pentatricopeptide (PPR) repeat,,,,
VIT_05s0094g01650,Unknown,,,,
VIT_05s0094g01660,Transposon,,,,
VIT_05s0094g01670,PP1/PP2A phosphatases pleiotropic regulator PRL1,K12862,,vv23040Spliceosome,vv50109Incompletely_characterized_transport_systems
VIT_05s0094g01680,A/G-specific adenine glycosylase,K03575,,vv23410Base_excision_repair,
VIT_05s0094g01690,No hit,,,,
VIT_05s0094g01700,No hit,,,,
VIT_05s0094g01710,No hit,,,,
VIT_05s0102g00010,Unknown,,,,
VIT_05s0102g00020,Ankyrin repeat protein,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0102g00030,Ankyrin repeat protein family,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0102g00040,No hit,,,,
VIT_05s0102g00050,Ankyrin repeat protein family,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0102g00060,Ankyrin repeat protein family,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_05s0102g00070,Unknown protein,,,,
VIT_05s0102g00080,U1 small nuclear ribonucleoprotein 70 kDa ,,,,
VIT_05s0102g00090,Biotin synthase (BioB) (BIO2),E2_8_1_6,,vv10780Biotin_metabolism,
VIT_05s0102g00100,Isoleucyl-tRNA synthetase,E6_1_1_5,,vv10290Valine_leucine_and_isoleucine_biosynthesis,vv20970Aminoacyl-tRNA_biosynthesis
VIT_05s0102g00110,LTR retrotransposon,,,,
VIT_05s0102g00120,Glutathione peroxidase,E1_11_1_9,,vv10480Glutathione_metabolism,
VIT_05s0102g00130,Unknown protein,,,,
VIT_05s0102g00140,No hit,,,,
VIT_05s0102g00150,Retrovirus Pol polyprotein,,,,
VIT_05s0102g00160,Zinc finger (Ran-binding),ZFRANBPDOM_7,,vv60080Other_zf,
VIT_05s0102g00170,Calcium-dependent protein kinase 24 CPK24,CPK24,,vv34626Plant-pathogen_interaction,
VIT_05s0102g00180,No hit,,,,
VIT_05s0102g00190,No hit,,,,
VIT_05s0102g00200,Unknown protein,,,,
VIT_05s0102g00210,Unknown protein,,,,
VIT_05s0102g00220,Gamma-secretase subunit APH-1B,,,,
VIT_05s0102g00230,Protein farnesyltransferase/geranylgeranyltransferase type I alphasubunit,E2_5_1_29,,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
VIT_05s0102g00240,Endonuclease III homologue,K10773,,vv23410Base_excision_repair,
VIT_05s0102g00250,Unknown protein,,,,
VIT_05s0102g00260,Cell division cycle protein 48,K13525,,vv24141Protein_processing_in_endoplasmic_reticulum,vv44110Cell_cycle
VIT_05s0102g00270,Cyclin-related,CYCREL,,vv44110Cell_cycle,
VIT_05s0102g00280,No hit,,,,
VIT_05s0102g00290,Unknown protein,,,,
VIT_05s0102g00300,Unknown protein,,,,
VIT_05s0102g00310,GUN4,,,,
VIT_05s0102g00320,Retrotransposon protein,,,,
VIT_05s0102g00330,On-specific serine/threonine protein kinase,K08282,,,
VIT_05s0102g00340,Transposon,,,,
VIT_05s0102g00350,Retrovirus Pol polyprotein,,,,
VIT_05s0102g00360,On-specific serine/threonine protein kinase,K08282,,,
VIT_05s0102g00370,Receptor protein kinase (ACR4),,,,
VIT_05s0102g00380,Unknown,,,,
VIT_05s0102g00390,far-red impaired responsive family protein,FRSFAM_3,,vv60071Orphans_far-red,
VIT_05s0102g00400,far-red impaired responsive family protein,FRSFAM_1,,vv60071Orphans_far-red,
VIT_05s0102g00410,far-red impaired responsive family protein,FRSFAM_9,,vv60071Orphans_far-red,
VIT_05s0102g00420,far-red impaired responsive family protein,FRSFAM_12,,vv60071Orphans_far-red,
VIT_05s0102g00430,Unknown protein,,,,
VIT_05s0102g00440,FAR1-related sequence 5,FRS5_20,,vv60071Orphans_far-red,
VIT_05s0102g00450,MSS3 (multicopy suppressors of snf4 deficiency in yeast 3),K13448_MSS3,,vv34626Plant-pathogen_interaction,
VIT_05s0102g00460,RPD1 (root primordium defective 1),,,,
VIT_05s0102g00470,far-red impaired response 1,FAR1_3,,vv60071Orphans_far-red,
VIT_05s0102g00480,Pre-mRNA-splicing helicase,K12854,,vv23040Spliceosome,
VIT_05s0102g00490,No hit,,,,
VIT_05s0102g00500,RNA recognition motif (RRM)-containing protein,,,,
VIT_05s0102g00510,Unknown protein,,,,
VIT_05s0102g00520,Unknown,,,,
VIT_05s0102g00530,No hit,,,,
VIT_05s0102g00540,Unknown protein,,,,
VIT_05s0102g00550,Cell division cycle 20  cofactor of APC complex,K03363,,vv24120Ubiquitin_mediated_proteolysis,vv44110Cell_cycle
VIT_05s0102g00560,Peptidyl-prolyl cis-trans isomerase E,K09564,,vv23040Spliceosome,
VIT_05s0102g00570,O-sialoglycoprotein endopeptidase,E3_4_24_57,,,
VIT_05s0102g00580,Transposon,,,,
VIT_05s0102g00590,No hit,,,,
VIT_05s0102g00600,No hit,,,,
VIT_05s0102g00610,No hit,,,,
VIT_05s0102g00620,No hit,,,,
VIT_05s0102g00630,Agenet domain-containing protein,,,,
VIT_05s0102g00640,WD-repeat protein,,,,
VIT_05s0102g00650,Peptidyl-prolyl isomerase E (cyclophilin E),K09564,,vv23040Spliceosome,
VIT_05s0102g00660,No hit,,,,
VIT_05s0102g00670,Unknown,,,,
VIT_05s0102g00680,WD-repeat protein,,,,
VIT_05s0102g00690,far-red impaired responsive family protein,FRSFAM_8,,vv60071Orphans_far-red,
VIT_05s0102g00700,Group II intron splicing factor CRS1-like,,,,
VIT_05s0102g00710,fructokinase-1,E2_7_1_4,,vv10051Fructose_and_mannose_metabolism,vv10500Starch_and_sucrose_metabolism
VIT_05s0102g00720,Unknown protein,,,,
VIT_05s0102g00730,Integral membrane HRF1,YIF1B,,vv50110Protein_coat,
VIT_05s0102g00740,Leucin-rich repeat protein kinase,,,,
VIT_05s0102g00750,Zinc finger (B-box type),ZFBBOX_2,,vv60073Orphans_zf-b_box,
VIT_05s0102g00760,Unknown protein,,,,
VIT_05s0102g00770,EDR2 (enhanced disease resistance 2),,,,
VIT_05s0102g00780,Unknown protein,,,,
VIT_05s0102g00790,Unknown protein,,,,
VIT_05s0102g00800,DEAH (Asp-Glu-Ala-His) box polypeptide 16,K12813,,vv23040Spliceosome,
VIT_05s0102g00810,Unknown protein,,,,
VIT_05s0102g00820,No hit,,,,
VIT_05s0102g00830,Unknown protein,,,,
VIT_05s0102g00840,Retrovirus Pol polyprotein,,,,
VIT_05s0102g00850,Unknown protein,,,,
VIT_05s0102g00860,Unknown protein,,,,
VIT_05s0102g00870,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g00880,Strictosidine synthase,E4_3_3_2,,vv10900Terpenoid_biosynthesis,vv10902Monoterpenoid_biosynthesis
VIT_05s0102g00890,No hit,,,,
VIT_05s0102g00900,Unknown protein,,,,
VIT_05s0102g00910,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g00920,Unknown protein,,,,
VIT_05s0102g00930,Glucosyltransferase-11,,,,
VIT_05s0102g00940,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g00950,Curculin-like (mannose-binding) lectin family,,,,
VIT_05s0102g00960,No hit,,,,
VIT_05s0102g00970,Unknown protein,,,,
VIT_05s0102g00980,Unknown protein,,,,
VIT_05s0102g00990,Glucosyltransferase-12,,,,
VIT_05s0102g01000,No hit,,,,
VIT_05s0102g01010,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g01020,No hit,,,,
VIT_05s0102g01030,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g01040,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g01050,No hit,,,,
VIT_05s0102g01060,No hit,,,,
VIT_05s0102g01070,No hit,,,,
VIT_05s0102g01080,Disease resistance protein (CC-NBS-LRR class),,,,
VIT_05s0102g01090,Unknown,,,,
VIT_05s0102g01100,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_05s0102g01110,Electron transfer flavoprotein-ubiquinone oxidoreductase precursor,E1_5_5_1,,vv10130Ubiquinone_biosynthesis,
VIT_05s0102g01120,BZIP transcription factor  putative (bZIP69),BZIP69,VvbZIP16,vv60012BZIP,
VIT_05s0102g01130,Unknown protein,,,,
VIT_05s0102g01140,SKIP16 (SKP1/ASK- interacting  protein 16),,,,
VIT_05s0102g01150,F-box domain containing protein,,,,
VIT_05s0102g01160,FPA (FPA),FPA,,vv30009Flower_development,
VIT_05s0102g01170,Sterol-4-alpha-carboxylate 3-dehydrogenase  decarboxylating,E1_1_1_170,,vv10100Biosynthesis_of_steroids,
VIT_05s0102g01180,Hydroxyacylglutathione hydrolase 2,E3_1_2_6,,vv10620Pyruvate_metabolism,
VIT_05s0102g01190,Calreticulin-3 precursor,K10098,,,
VIT_05s0102g01200,Lectin,,,,
VIT_05s0102g01210,TGD2 (trigalactosyldiacylglycerol2),TGD2,,vv52010ABC_transporters,
VIT_05s0102g01210_2,No hit,,,,
VIT_05s0102g01220,Ribosomal protein L38 (RPL38B) 60S,K02923,,vv23010Ribosome,
VIT_05s0124g00010,Epsin-like protein,,,,
VIT_05s0124g00020,Isocitrate lyase,E4_1_3_1,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
VIT_05s0124g00030,Epsin protein,,,,
VIT_05s0124g00040,Epsin protein,,,,
VIT_05s0124g00050,No hit,,,,
VIT_05s0124g00060,Pentatricopeptide (PPR) repeat-containing,,,,
VIT_05s0124g00060_2,Import inner membrane translocase subunit TIM16  Mitochondrial,TXR1,,vv50132Primary_active_transporter_cat_A5_to_A8,
VIT_05s0124g00070,No hit,,,,
VIT_05s0124g00080,No hit,,,,
VIT_05s0124g00090,Golgi transport 1 protein B,GOT1B,,vv50109Incompletely_characterized_transport_systems,
VIT_05s0124g00100,Unknown,,,,
VIT_05s0124g00110,Transposon,,,,
VIT_05s0124g00120,Lipase class 3,,,,
VIT_05s0124g00130,No hit,,,,
VIT_05s0124g00140,Lipase class 3,,,,
VIT_05s0124g00150,Retrovirus Pol polyprotein,,,,
VIT_05s0124g00160,No hit,,,,
VIT_05s0124g00170,Retrovirus Pol polyprotein,,,,
VIT_05s0124g00180,No hit,,,,
VIT_05s0124g00190,C2 domain-containing protein,,,,
VIT_05s0124g00200,Lipase class 3,,,,
VIT_05s0124g00210,Peptidase S26A  signal peptidase I,,,,
VIT_05s0124g00220,Retrovirus Pol polyprotein,,,,
VIT_05s0124g00230,F-box domain containing protein,,,,
VIT_05s0124g00240,Basic helix-loop-helix (bHLH) family,BHLHDOM_61,,vv60011BHLH,
VIT_05s0124g00250,Histone-lysine N-methyltransferase ATX1,E2_1_1_43ATX1_2,,vv10300Lysine_biosynthesis,vv60048PHD
VIT_05s0124g00260,Peptidyl tRNA hydrolases putative protein,K01056,,,
VIT_05s0124g00270,Unknown protein,,,,
VIT_05s0124g00280,Anthocyanin membrane protein 1,ANM1,,vv50122Porters_cat_7_to_17,
VIT_05s0124g00290,Anthocyanin membrane protein 2,,,,
VIT_05s0124g00300,Male sterility 2,,,,
VIT_05s0124g00310,Male sterility 2,,,,
VIT_05s0124g00320,Male sterility 2,,,,
VIT_05s0124g00330,Survival of motor neuron protein-interacting protein 1,K13130,,vv23013RNA_transport,
VIT_05s0124g00340,Survival of motor neuron protein-interacting protein 1,K13130,,vv23013RNA_transport,
VIT_05s0124g00350,Retrovirus Pol polyprotein,,,,
VIT_05s0124g00360,Protein kinase Pti1,K13436,,vv34626Plant-pathogen_interaction,
VIT_05s0124g00370,No hit,,,,
VIT_05s0124g00380,Transposon,,,,
VIT_05s0124g00390,2-isopropylmalate synthase B,E2_3_3_13,,vv10290Valine_leucine_and_isoleucine_biosynthesis,vv10620Pyruvate_metabolism
VIT_05s0124g00400,2-isopropylmalate synthase B,E2_3_3_13,,vv10290Valine_leucine_and_isoleucine_biosynthesis,vv10620Pyruvate_metabolism
VIT_05s0124g00410,UBX domain-containing protein,,,,
